src,ra_deg,dec_deg,mjd,repeater
FRB20190328B,199.5,86.9,58570.40886353,False
FRB20181017A,256.3,68.3,58408.97652582,True
FRB20181017A,256.3,68.3,58530.64372972,True
FRB20190320D,262.2,59.1,58562.56467839,False
FRB20181218A,5.1,71.35,58470.10956691099,False
FRB20180907D,329.0,89.2,58368.254154255,False
FRB20190224C,124.1,19.8,58538.250431823,False
FRB20181030A,158.4,73.8,58421.17584521,True
FRB20181030A,158.4,73.8,58421.17802826,True
FRB20180806A,228.56,75.6,58336.592511576,False
FRB20190303A,208.0,48.2,58545.46200053,True
FRB20190303A,208.0,48.2,58594.333453162,True
FRB20190303A,208.24999999999997,48.25,58666.135182439815,True
FRB20190303A,208.24999999999997,48.25,58769.85516522587,True
FRB20190303A,208.24999999999997,48.25,58776.82558893146,True
FRB20190303A,208.24999999999997,48.25,58785.808406332086,True
FRB20190303A,208.24999999999997,48.25,58797.77293428942,True
FRB20190303A,208.24999999999997,48.25,58800.758652504526,True
FRB20190303A,208.24999999999997,48.25,58803.75684240249,True
FRB20190303A,208.24999999999997,48.25,58804.76286423926,True
FRB20190303A,208.24999999999997,48.25,58832.676196572385,True
FRB20190303A,208.24999999999997,48.25,58848.63737868936,True
FRB20190303A,208.24999999999997,48.25,58860.60178376669,True
FRB20190303A,208.24999999999997,48.25,59013.18791975759,True
FRB20190303A,208.24999999999997,48.25,59022.161024591056,True
FRB20190303A,208.24999999999997,48.25,59101.93754152479,True
FRB20190303A,208.24999999999997,48.25,59254.52322667603,True
FRB20190303A,208.24999999999997,48.25,59254.50325831191,True
FRB20190109B,253.5,1.3,58492.73336049,False
FRB20190222C,239.18,40.0,58536.573605305995,False
FRB20181215B,254.8,47.56,58467.8060653883,False
FRB20190417A,294.9,59.4,58590.58061134,True
FRB20190417A,294.74999999999994,59.4,58701.27557493056,True
FRB20190417A,294.74999999999994,59.4,58755.134905625,True
FRB20190417A,294.74999999999994,59.4,58872.808720467845,True
FRB20190417A,294.74999999999994,59.4,59056.30674094405,True
FRB20180923C,239.14,22.9,58384.991255929,False
FRB20181209A,98.2,68.7,58461.392266336,False
FRB20180907B,4.5,19.2,58368.3820747,False
FRB20190222D,313.9,26.6,58536.782835193,False
FRB20190221A,132.6,9.9,58535.282989294006,False
FRB20190417C,45.68,71.26,58590.8904473187,False
FRB20181019C,244.7,66.3,58410.93030664,False
FRB20181228A,7.3,10.2,58480.085205187,False
FRB20190301C,171.8,34.9,58543.36761879,False
FRB20190409B,126.7,63.5,58582.14282455,False
FRB20190323C,199.5,40.1,58565.386941900004,False
FRB20190116F,261.7,75.0,58499.736543582,False
FRB20190124A,50.5,51.6,58507.12934437,False
FRB20181022E,221.2,27.1,58413.85934789,False
FRB20190131E,195.65,80.9,58514.011666934006,False
FRB20181226D,120.2,22.16,58478.40366190099,False
FRB20190401A,196.8,79.9,58574.35864405,False
FRB20190423D,29.7,84.8,58596.840547513,False
FRB20181220A,346.1,48.4,58472.046663619,False
FRB20190624B,304.65,73.6,58658.924380108496,False
FRB20190422B,158.3,45.67,58595.18793344,False
FRB20190303B,128.74,66.03,58545.243344984294,False
FRB20190612C,79.12,61.0,58646.832791005996,False
FRB20181215A,93.4,39.34,58467.360849186,False
FRB20190224A,60.5,83.4,58538.09529474,False
FRB20190116C,249.32,70.96,58499.704333705704,False
FRB20190329B,87.9,76.3,58571.055938187004,False
FRB20190403E,220.22,86.5,58576.885389335,False
FRB20181013B,97.2,52.0,58404.54018734,False
FRB20190415A,182.4,71.3,58588.275032786,False
FRB20180727A,197.7,26.4,58326.036261585,False
FRB20190416B,172.2,35.95,58589.243087849005,False
FRB20190130B,172.1,16.05,58513.454030201,False
FRB20181219B,180.8,71.6,58471.088782273,False
FRB20190701D,112.1,66.7,58665.870924735995,False
FRB20181101A,21.26,53.9,58423.28045868,False
FRB20190502A,165.0,60.0,58605.1829522813,False
FRB20190409C,252.6,71.6,58582.48865725,False
FRB20190208C,141.55,83.6,58522.33895074,False
FRB20190128B,127.4,23.3,58511.334745112996,False
FRB20190124F,338.9,5.3,58507.930244283,False
FRB20190322C,296.4,70.7,58564.65575584,False
FRB20190313B,102.0,74.1,58555.138963800004,False
FRB20181229B,238.4,19.8,58481.72495344,False
FRB20190110A,64.95,47.44,58493.21221296099,False
FRB20181124B,318.6,29.9,58446.044202045,False
FRB20190409A,79.5,6.7,58582.00692909,False
FRB20181129C,233.4,40.0,58451.791947885,False
FRB20181122B,281.1,85.02,58444.429052715896,False
FRB20190419B,255.3,86.74,58592.94339506901,False
FRB20181223B,174.9,21.6,58475.563193115,False
FRB20190206B,49.8,79.5,58520.58179143,False
FRB20190613A,257.4,18.9,58647.32319346,False
FRB20190410A,263.5,-2.4,58583.51375992,False
FRB20190408A,262.2,71.6,58581.5179466,False
FRB20190103D,221.8,59.9,58486.6672002,False
FRB20190208A,283.5,47.0,58522.737392093,True
FRB20190208A,283.5,47.0,58580.0,True
FRB20190208A,283.75,46.96666666666667,58872.779840937175,True
FRB20190208A,283.75,46.96666666666667,58922.640755483175,True
FRB20190208A,283.75,46.96666666666667,58961.53207686245,True
FRB20190208A,283.75,46.96666666666667,58982.47538454189,True
FRB20190208A,283.75,46.96666666666667,59248.74874048936,True
FRB20190320A,61.6,63.4,58562.014611073,False
FRB20181217A,290.5,59.8,58469.89918234,False
FRB20190204B,255.9,75.9,58518.673105775,False
FRB20190107A,0.9,21.8,58490.0425753,False
FRB20190219C,349.7,49.2,58533.888842299995,False
FRB20190417B,174.9,64.7,58590.25158079,False
FRB20190518G,94.8,75.5,58621.945026317,False
FRB20181224C,115.3,60.3,58476.40016535,False
FRB20190214C,218.87,19.4,58528.53955059,False
FRB20180928A,312.95,30.85,58389.183697977,False
FRB20190101A,171.0,28.0,58484.52789143,False
FRB20190131C,166.5,10.4,58514.43220708,False
FRB20181231C,197.1,69.2,58483.608543156,False
FRB20190418A,65.8,16.0,58591.940474878,False
FRB20190531A,203.96,81.7,58634.218316013,False
FRB20180919B,5.3,5.94,58380.353756027995,False
FRB20190423B,298.6,26.2,58596.5777762,False
FRB20190327A,281.3,34.28,58569.602405255,False
FRB20181128D,215.62,59.9,58450.745407732,False
FRB20190623A,270.5,24.5,58657.330921504006,False
FRB20190619C,38.3,36.3,58653.69903133,False
FRB20190124B,214.69,28.8,58507.588591208,False
FRB20181214B,138.8,42.15,58466.486353575,False
FRB20190630C,68.4,80.95,58664.743219439006,False
FRB20181018C,67.2,37.6,58409.44643911,False
FRB20190131D,57.5,22.8,58514.130217137004,False
